user,userplays,artist,album,song,date
goopszn,198,Bladee,Gluee,Shadowface,2023-07-09 03:47:00.188000+00:00
p4aoo,145,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 03:47:18.085000+00:00
1zane,27,Bladee,Icedancer,Anything,2023-07-09 03:47:38.297000+00:00
jkingisdrained,12,Bladee,Spiderr,I AM SLOWLY BUT SURELY LOSING HOPE,2023-07-09 03:47:52.788000+00:00
drainerrrr,39,Bladee,Red Light,Westfield,2023-07-09 03:48:00.504000+00:00
jkingisdrained,13,Bladee,Spiderr,I AM SLOWLY BUT SURELY LOSING HOPE,2023-07-09 03:48:02.533000+00:00
drainerrrr,40,Thaiboy Digital,Tiger,Gtblessgo,2023-07-09 03:48:04.695000+00:00
drainerrrr,41,Bladee,Dragonfly,Dragonfly,2023-07-09 03:48:06.718000+00:00
8o8wk,49,Bladee,333,Reality Surf,2023-07-09 03:49:03.251000+00:00
daddyjeys,4,Bladee,EXETER,MERRY-GO-ROUND,2023-07-09 03:49:11.447000+00:00
daddyjeys,5,Bladee,EXETER,MERRY-GO-ROUND,2023-07-09 03:49:16.636000+00:00
egorsosetjui,370,Bladee,Plastic Surgery,Plastic Surgery,2023-07-09 03:49:17.003000+00:00
daddyjeys,6,Bladee,EXETER,MERRY-GO-ROUND,2023-07-09 03:50:12.417000+00:00
daddyjeys,7,Bladee,EXETER,MERRY-GO-ROUND,2023-07-09 03:50:12.903000+00:00
1zane,28,Bladee,Icedancer,The Silent Boy Cries (Ripsquadd Outro),2023-07-09 03:50:16.130000+00:00
p4aoo,146,Bladee,Red Velvet,Red Velvet,2023-07-09 03:50:18.534000+00:00
jkingisdrained,14,Bladee,Crest,Girls Just Want to Have Fun,2023-07-09 03:50:26.161000+00:00
p4aoo,147,Bladee,Red Velvet,Red Velvet,2023-07-09 03:50:28.245000+00:00
ks.k,25,Thaiboy Digital,Back 2 Life,The Kingdom,2023-07-09 03:50:33.900000+00:00
goopszn,199,Bladee,Gluee,Spellbound,2023-07-09 03:50:34.268000+00:00
sinkoe,129,Ecco2k,Trash Island,Western Union,2023-07-09 03:51:35.438000+00:00
1zane,29,Bladee,Red Light,1D,2023-07-09 03:51:36.416000+00:00
sinkoe,130,Bladee,Crest,Faust,2023-07-09 03:51:37.799000+00:00
sinkoe,131,Thaiboy Digital,Legendary Member,Bentley,2023-07-09 03:51:38.975000+00:00
japanesiest,104,Bladee,Working on Dying,Redlight Moments,2023-07-09 03:52:22.910000+00:00
japanesiest,105,Bladee,Working on Dying,Redlight Moments,2023-07-09 03:52:25.473000+00:00
japanesiest,106,Bladee,Working on Dying,Redlight Moments,2023-07-09 03:52:39.607000+00:00
goopszn,200,Bladee,Gluee,Everlasting Flames,2023-07-09 03:53:58.362000+00:00
zibellina,6,Bladee,The Fool,I Want It That Way,2023-07-09 03:54:58.498000+00:00
jkingisdrained,15,Bladee,333,Mean Girls,2023-07-09 03:55:17.302000+00:00
