user,userplays,artist,album,song,date
cynnpai,105,Bladee,Working on Dying,Gatekeeper,2023-07-30 01:09:07.079000+00:00
mhuss,63,Bladee,Plastic Surgery,It Suxx,2023-07-30 01:09:07.160000+00:00
mhuss,64,Bladee,Plastic Surgery,It Suxx,2023-07-30 01:09:16.960000+00:00
xpyu,435,Bladee,Working on Dying,Backstr€€t Boys,2023-07-30 01:16:01.296000+00:00
111ava,228,Bladee,Working on Dying,Gatekeeper,2023-07-30 01:16:23.859000+00:00
xpyu,436,Bladee,Working on Dying,Backstr€€t Boys,2023-07-30 01:16:58.060000+00:00
meowcat437,903,Bladee,Good Luck,Into One,2023-07-30 01:17:16.624000+00:00
meowcat437,904,Bladee,Icedancer,Close,2023-07-30 01:17:17.926000+00:00
mhuss,65,Varg²™,SHINIE,SHINIE,2023-07-30 01:17:18.289000+00:00
mhuss,66,Varg²™,SHINIE,SHINIE,2023-07-30 01:17:28.366000+00:00
angcls,415,Bladee,The Fool,BBY,2023-07-30 01:17:32.934000+00:00
invane,1724,Bladee,333,Hero of My Story 3style3,2023-07-30 01:17:36.124000+00:00
invane,1725,Bladee,333,Hero of My Story 3style3,2023-07-30 01:17:45.980000+00:00
meowcat437,905,Yung Lean,Frost God,Head 2 Toe,2023-07-30 01:26:26.389000+00:00
mhuss,67,Bladee,Plastic Surgery,Doorman,2023-07-30 01:26:33.164000+00:00
territoryy,51,Bladee,Crest,5 Star Crest (4 Vattenrum),2023-07-30 01:22:01.582000+00:00
territoryy,52,Bladee,Crest,5 Star Crest (4 Vattenrum),2023-07-30 01:22:01.582000+00:00
invane,1726,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 01:27:38.353000+00:00
invane,1727,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 01:27:48.217000+00:00
_trashstar_,287,Bladee,Eversince,Rip,2023-07-30 01:27:56.922000+00:00
izayatijistan,680,Bladee,D&G,Dumpster Baby,2023-07-30 01:31:35.744000+00:00
izayatijistan,681,Bladee,D&G,Dumpster Baby,2023-07-30 01:31:36.909000+00:00
territoryy,53,Bladee,Crest,5 Star Crest (4 Vattenrum),2023-07-30 01:31:43.116000+00:00
invane,1728,Bladee,Spiderr,ITS OK TO NOT BE OK,2023-07-30 01:32:25.942000+00:00
monkeyballsballs,123,Bladee,Gluee,Safehouse,2023-07-30 01:32:48.663000+00:00
_trashstar_,288,Bladee,D&G,Cinderella,2023-07-30 01:42:49.380000+00:00
angcls,416,Bladee,Red Light,Westfield,2023-07-30 01:43:39.790000+00:00
bluperc,3,Bladee,Spiderr,ICARUS 3REESTYLE,2023-07-30 01:43:41.469000+00:00
f7p,1296,Bladee,The Fool,desiree,2023-07-30 01:43:43.886000+00:00
meowcat437,906,Bladee,EXETER,OPEN SYMBOLS (PLAY) BE IN YOUR MIND,2023-07-30 01:43:55.489000+00:00
meowcat437,907,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 01:46:55.981000+00:00
meowcat437,908,Yung Lean,Warlord (Deluxe),Pearl Fountain,2023-07-30 01:47:05.745000+00:00
mikel,7,Bladee,Eversince,Who Goes There,2023-07-30 01:47:22.732000+00:00
mikel,8,Bladee,Eversince,Who Goes There,2023-07-30 01:47:23.231000+00:00
wikihow,11,Bladee,Icedancer,Be Nice 2 Me,2023-07-30 01:47:36.843000+00:00
mhuss,68,Bladee,D&G,Wickr Man,2023-07-30 01:47:43.509000+00:00
_trashstar_,289,Bladee,Icedancer,Mallwhore Freeestyle,2023-07-30 01:58:52.103000+00:00
cuurlyhead,422,Bladee,Red Light,Steve Jobs,2023-07-30 01:59:06.222000+00:00
drainerrrr,93,Bladee,EXETER,RAIN3OW STAR (LOVE IS ALL),2023-07-30 01:59:16.273000+00:00
vampywampy,33,Bladee,Icedancer,Mallwhore Freeestyle,2023-07-30 01:59:18.978000+00:00
cuurlyhead,423,Bladee,Red Light,Steve Jobs,2023-07-30 01:59:06.222000+00:00
f7p,1297,Bladee,Red Light,Steve Jobs,2023-07-30 02:07:19.194000+00:00
meowcat437,909,Bladee,AvP,2X,2023-07-30 02:07:21.501000+00:00
cuurlyhead,424,Bladee,Icedancer,OKK,2023-07-30 02:07:24.224000+00:00
noshiiroo,57,Ecco2k,Trash Island,Western Union,2023-07-30 02:08:11.695000+00:00
angcls,417,Bladee,333,Finder,2023-07-30 02:08:12.466000+00:00
exstensia,2,Bladee,Icedancer,Feel Like,2023-07-30 02:08:15.648000+00:00
perfectcondition,177,Thaiboy Digital,Trash Island,30th Floor,2023-07-30 02:12:08.812000+00:00
j4kunaa,48,Bladee,Eversince,Bloodveil / Stillborn,2023-07-30 02:12:23.260000+00:00
j4kunaa,49,Bladee,Eversince,Bloodveil / Stillborn,2023-07-30 02:12:23.750000+00:00
supwater,164,Bladee,Gotham City,Gotham City,2023-07-30 02:13:14.315000+00:00
perfectcondition,178,Thaiboy Digital,Trash Island,30th Floor,2023-07-30 02:13:18.389000+00:00
drainerrrr,94,Bladee,Working on Dying,Cherry Bracelets,2023-07-30 02:13:18.769000+00:00
perfectcondition,179,Bladee,Trash Island,Victim,2023-07-30 02:17:53.278000+00:00
cuurlyhead,425,Bladee,D&G,Suffocation,2023-07-30 02:17:54.494000+00:00
soylita,105,Bladee,The Fool,BBY,2023-07-30 02:18:07.693000+00:00
soylita,106,Bladee,Plastic Surgery,Doorman,2023-07-30 02:18:09.129000+00:00
8o8wk,564,Bladee,Working on Dying,Best Buy,2023-07-30 02:29:53.992000+00:00
angcls,418,Bladee,Icedancer,SmartWater,2023-07-30 02:30:00.072000+00:00
_trashstar_,290,Bladee,Gotham City,Gotham City,2023-07-30 02:30:05.269000+00:00
whoami391,150,Bladee,Eversince,Wrist Cry,2023-07-30 02:30:06.713000+00:00
mhuss,69,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 02:31:45.421000+00:00
whoami391,151,Ecco2k,Amygdala,Amygdala,2023-07-30 02:31:46.747000+00:00
mhuss,70,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 02:31:55.551000+00:00
whoami391,152,Ecco2k,Amygdala,Amygdala,2023-07-30 02:31:56.676000+00:00
